# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	19668	20741	+	WP_005006447.1	WP_005006447.1		alpha/beta hydrolase			KI216_RS00080	1074	357	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	20775	21446	-							KI216_RS00085	672		old_locus_tag=ACBO_00180
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	20775	21446	-	WP_005006446.1	WP_005006446.1		hypothetical protein			KI216_RS00085	672	223	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	21548	22123	+							KI216_RS00090	576		old_locus_tag=ACBO_00190
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	21548	22123	+	WP_005006444.1	WP_005006444.1		peptidylprolyl isomerase			KI216_RS00090	576	191	
gene	rRNA	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	22546	24083	+							KI216_RS00095	1538		old_locus_tag=ACBO_r00010
rRNA		GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	22546	24083	+				16S ribosomal RNA			KI216_RS00095	1538		
gene	tRNA	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24143	24219	+							KI216_RS00100	77		old_locus_tag=ACBO_t00010
tRNA		GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24143	24219	+				tRNA-Ile			KI216_RS00100	77		anticodon=GAT
gene	tRNA	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24270	24345	+							KI216_RS00105	76		old_locus_tag=ACBO_t00020
tRNA		GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24270	24345	+				tRNA-Ala			KI216_RS00105	76		anticodon=TGC
gene	rRNA	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24752	27646	+							KI216_RS00110	2895		old_locus_tag=ACBO_r00020
rRNA		GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	24752	27646	+				23S ribosomal RNA			KI216_RS00110	2895		
gene	rRNA	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	27831	27945	+					rrf		KI216_RS00115	115		old_locus_tag=ACBO_r00030
rRNA		GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	27831	27945	+				5S ribosomal RNA	rrf		KI216_RS00115	115		
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	28489	29862	+							KI216_RS00120	1374		old_locus_tag=ACBO_00200
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	28489	29862	+	WP_005012354.1	WP_005012354.1		MFS transporter			KI216_RS00120	1374	457	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	30150	30842	-							KI216_RS00125	693		old_locus_tag=ACBO_00210
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	30150	30842	-	WP_005012352.1	WP_005012352.1		TIGR04219 family outer membrane beta-barrel protein			KI216_RS00125	693	230	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	31551	33038	+							KI216_RS00130	1488		old_locus_tag=ACBO_00220
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	31551	33038	+	WP_005012349.1	WP_005012349.1		sodium-dependent transporter			KI216_RS00130	1488	495	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	33040	33183	+							KI216_RS00135	144		old_locus_tag=ACBO_00230
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	33040	33183	+	WP_005012345.1	WP_005012345.1		methionine/alanine import family NSS transporter small subunit			KI216_RS00135	144	47	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	33281	34588	-					rsmB		KI216_RS00140	1308		old_locus_tag=ACBO_00240
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	33281	34588	-	WP_005012344.1	WP_005012344.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		KI216_RS00140	1308	435	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	34585	35547	-					fmt		KI216_RS00145	963		old_locus_tag=ACBO_00250
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	34585	35547	-	WP_005012343.1	WP_005012343.1		methionyl-tRNA formyltransferase	fmt		KI216_RS00145	963	320	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	35958	43190	+							KI216_RS00150	7233		old_locus_tag=ACBO_00260
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	35958	43190	+	WP_005012342.1	WP_005012342.1		YadA-like family protein			KI216_RS00150	7233	2410	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	43265	44080	+							KI216_RS00155	816		old_locus_tag=ACBO_00270
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	43265	44080	+	WP_005012336.1	WP_005012336.1		OmpA family protein			KI216_RS00155	816	271	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	44152	44577	+							KI216_RS00160	426		old_locus_tag=ACBO_00280
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	44152	44577	+	WP_005012334.1	WP_005012334.1		hypothetical protein			KI216_RS00160	426	141	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	44934	46763	+					ilvD		KI216_RS00165	1830		old_locus_tag=ACBO_00290
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	44934	46763	+	WP_026253472.1	WP_026253472.1		dihydroxy-acid dehydratase	ilvD		KI216_RS00165	1830	609	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	47641	49326	+					ilvD		KI216_RS00170	1686		old_locus_tag=ACBO_00300
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	47641	49326	+	WP_005012328.1	WP_005012328.1		dihydroxy-acid dehydratase	ilvD		KI216_RS00170	1686	561	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	49399	50721	+							KI216_RS00175	1323		old_locus_tag=ACBO_00310
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	49399	50721	+	WP_005012326.1	WP_005012326.1		hypothetical protein			KI216_RS00175	1323	440	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	50702	50989	+							KI216_RS00180	288		old_locus_tag=ACBO_00320
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	50702	50989	+	WP_018573157.1	WP_018573157.1		chorismate mutase			KI216_RS00180	288	95	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	51054	51947	-							KI216_RS00185	894		old_locus_tag=ACBO_00330
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	51054	51947	-	WP_005012322.1	WP_005012322.1		DUF4198 domain-containing protein			KI216_RS00185	894	297	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	52048	53607	+							KI216_RS00190	1560		old_locus_tag=ACBO_00340
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	52048	53607	+	WP_005012320.1	WP_005012320.1		DUF2271 domain-containing protein			KI216_RS00190	1560	519	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	53637	54227	+							KI216_RS00195	591		old_locus_tag=ACBO_00350
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	53637	54227	+	WP_005012318.1	WP_005012318.1		PepSY-associated TM helix domain-containing protein			KI216_RS00195	591	196	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	54238	55713	+							KI216_RS00200	1476		old_locus_tag=ACBO_00360
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	54238	55713	+	WP_005012316.1	WP_005012316.1		sulfite reductase subunit alpha			KI216_RS00200	1476	491	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	55896	56633	+							KI216_RS00205	738		old_locus_tag=ACBO_00370
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	55896	56633	+	WP_005012315.1	WP_005012315.1		sulfite exporter TauE/SafE family protein			KI216_RS00205	738	245	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	56630	57535	-							KI216_RS00210	906		old_locus_tag=ACBO_00380
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	56630	57535	-	WP_005012314.1	WP_005012314.1		LysR family transcriptional regulator			KI216_RS00210	906	301	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	57645	58949	-							KI216_RS00215	1305		old_locus_tag=ACBO_00390
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	57645	58949	-	WP_005012313.1	WP_005012313.1		NCS2 family nucleobase:cation symporter			KI216_RS00215	1305	434	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	59247	61931	-					ppc		KI216_RS00220	2685		old_locus_tag=ACBO_00400
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	59247	61931	-	WP_005012310.1	WP_005012310.1		phosphoenolpyruvate carboxylase	ppc		KI216_RS00220	2685	894	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	62093	62710	-							KI216_RS00225	618		old_locus_tag=ACBO_00410
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	62093	62710	-	WP_005012309.1	WP_005012309.1		TetR/AcrR family transcriptional regulator			KI216_RS00225	618	205	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	62861	63964	+							KI216_RS00230	1104		old_locus_tag=ACBO_00420
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	62861	63964	+	WP_005012308.1	WP_005012308.1		efflux RND transporter periplasmic adaptor subunit			KI216_RS00230	1104	367	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	63967	67104	+							KI216_RS00235	3138		old_locus_tag=ACBO_00430
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	63967	67104	+	WP_005012307.1	WP_005012307.1		efflux RND transporter permease subunit			KI216_RS00235	3138	1045	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	67239	67616	+							KI216_RS00240	378		old_locus_tag=ACBO_00440
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	67239	67616	+	WP_018573160.1	WP_018573160.1		hypothetical protein			KI216_RS00240	378	125	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	67721	68839	+					dnaJ		KI216_RS00245	1119		old_locus_tag=ACBO_00450
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	67721	68839	+	WP_005012305.1	WP_005012305.1		molecular chaperone DnaJ	dnaJ		KI216_RS00245	1119	372	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	68951	70591	-							KI216_RS00250	1641		old_locus_tag=ACBO_00460
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	68951	70591	-	WP_005012304.1	WP_005012304.1		O-antigen ligase family protein			KI216_RS00250	1641	546	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	70801	71622	+					dapB		KI216_RS00255	822		old_locus_tag=ACBO_00470
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	70801	71622	+	WP_005012302.1	WP_005012302.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		KI216_RS00255	822	273	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	71681	72325	+							KI216_RS00260	645		old_locus_tag=ACBO_00480
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	71681	72325	+	WP_005012300.1	WP_005012300.1		hypothetical protein			KI216_RS00260	645	214	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	72348	72782	-							KI216_RS00265	435		old_locus_tag=ACBO_00490
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	72348	72782	-	WP_005012298.1	WP_005012298.1		hypothetical protein			KI216_RS00265	435	144	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	72880	74325	+							KI216_RS00270	1446		old_locus_tag=ACBO_00500
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	72880	74325	+	WP_005012297.1	WP_005012297.1		PLP-dependent aminotransferase family protein			KI216_RS00270	1446	481	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	74389	75411	-							KI216_RS00275	1023		old_locus_tag=ACBO_00510
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	74389	75411	-	WP_005012296.1	WP_005012296.1		NAD(P)-dependent alcohol dehydrogenase			KI216_RS00275	1023	340	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	75447	76001	-							KI216_RS00280	555		old_locus_tag=ACBO_00520
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	75447	76001	-	WP_005012287.1	WP_005012287.1		DNA-3-methyladenine glycosylase I			KI216_RS00280	555	184	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76035	76280	-							KI216_RS00285	246		old_locus_tag=ACBO_00530
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76035	76280	-	WP_005012281.1	WP_005012281.1		hypothetical protein			KI216_RS00285	246	81	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76297	76839	-							KI216_RS00290	543		old_locus_tag=ACBO_00540
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76297	76839	-	WP_026253473.1	WP_026253473.1		M23 family metallopeptidase			KI216_RS00290	543	180	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76924	77952	-					mutY		KI216_RS00295	1029		old_locus_tag=ACBO_00550
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	76924	77952	-	WP_005012272.1	WP_005012272.1		A/G-specific adenine glycosylase	mutY		KI216_RS00295	1029	342	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	78092	78451	-							KI216_RS00300	360		old_locus_tag=ACBO_00560
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	78092	78451	-	WP_005012269.1	WP_005012269.1		HIT family protein			KI216_RS00300	360	119	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	78502	79248	-							KI216_RS00305	747		old_locus_tag=ACBO_00570
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	78502	79248	-	WP_005012267.1	WP_005012267.1		dienelactone hydrolase family protein			KI216_RS00305	747	248	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	79451	80143	-							KI216_RS00310	693		old_locus_tag=ACBO_00580
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	79451	80143	-	WP_005012266.1	WP_005012266.1		FKBP-type peptidyl-prolyl cis-trans isomerase			KI216_RS00310	693	230	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	80200	80913	-							KI216_RS00315	714		old_locus_tag=ACBO_00590
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	80200	80913	-	WP_005012265.1	WP_005012265.1		FKBP-type peptidyl-prolyl cis-trans isomerase			KI216_RS00315	714	237	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	81161	83353	-							KI216_RS00320	2193		old_locus_tag=ACBO_00600
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	81161	83353	-	WP_005012264.1	WP_005012264.1		polysaccharide biosynthesis tyrosine autokinase			KI216_RS00320	2193	730	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	83373	83801	-							KI216_RS00325	429		old_locus_tag=ACBO_00610
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	83373	83801	-	WP_005012263.1	WP_005012263.1		low molecular weight phosphotyrosine protein phosphatase			KI216_RS00325	429	142	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	83801	84901	-							KI216_RS00330	1101		old_locus_tag=ACBO_00620
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	83801	84901	-	WP_005012262.1	WP_005012262.1		polysaccharide biosynthesis/export family protein			KI216_RS00330	1101	366	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	85785	87062	+					tviB		KI216_RS00335	1278		old_locus_tag=ACBO_00630
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	85785	87062	+	WP_005012260.1	WP_005012260.1		Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	tviB		KI216_RS00335	1278	425	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	87083	88102	+					tviC		KI216_RS00340	1020		old_locus_tag=ACBO_00640
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	87083	88102	+	WP_005012259.1	WP_005012259.1		Vi polysaccharide biosynthesis UDP-N-acetylglucosaminuronic acid C-4 epimerase TviC	tviC		KI216_RS00340	1020	339	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	88108	89319	+							KI216_RS00345	1212		old_locus_tag=ACBO_00650
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	88108	89319	+	WP_005012258.1	WP_005012258.1		oligosaccharide flippase family protein			KI216_RS00345	1212	403	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	89316	90386	+							KI216_RS00350	1071		old_locus_tag=ACBO_00660
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	89316	90386	+	WP_005012254.1	WP_005012254.1		glycosyltransferase			KI216_RS00350	1071	356	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	90784	91926	+							KI216_RS00355	1143		old_locus_tag=ACBO_00670
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	90784	91926	+	WP_005012253.1	WP_005012253.1		glycosyltransferase family 4 protein			KI216_RS00355	1143	380	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	91927	92538	+							KI216_RS00360	612		old_locus_tag=ACBO_00680
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	91927	92538	+	WP_005012251.1	WP_005012251.1		sugar transferase			KI216_RS00360	612	203	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	92531	93187	+							KI216_RS00365	657		old_locus_tag=ACBO_00690
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	92531	93187	+	WP_005012246.1	WP_005012246.1		NeuD/PglB/VioB family sugar acetyltransferase			KI216_RS00365	657	218	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	93219	94406	+							KI216_RS00370	1188		old_locus_tag=ACBO_00700
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	93219	94406	+	WP_005012245.1	WP_005012245.1		DegT/DnrJ/EryC1/StrS aminotransferase family protein			KI216_RS00370	1188	395	
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	94446	96296	+							KI216_RS00375	1851		old_locus_tag=ACBO_00710
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	94446	96296	+	WP_005012243.1	WP_005012243.1		polysaccharide biosynthesis protein			KI216_RS00375	1851	616	
gene	pseudogene	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	96544	97139	+							KI216_RS00380	596		partial;pseudo
CDS	without_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	96544	97139	+				UDP-N-acetylglucosamine 2-epimerase			KI216_RS00380	596		partial;pseudo
gene	protein_coding	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	97277	98554	+					tviB		KI216_RS00385	1278		old_locus_tag=ACBO_00720
CDS	with_protein	GCF_018324105.1	Primary Assembly	chromosome		NZ_AP024595.1	97277	98554	+	WP_005012242.1	WP_005012242.1		Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	tviB		KI216_RS00385	1278	425	
