# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	14179	15285	-						67510289	KCV09_RS00055	1107		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	14179	15285	-	WP_212515344.1	WP_212515344.1		efflux RND transporter periplasmic adaptor subunit		67510289	KCV09_RS00055	1107	368	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	15344	15985	-						67510290	KCV09_RS00060	642		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	15344	15985	-	WP_212515345.1	WP_212515345.1		hypothetical protein		67510290	KCV09_RS00060	642	213	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	16226	16609	+					pilG	67510291	KCV09_RS00065	384		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	16226	16609	+	WP_025094513.1	WP_025094513.1		twitching motility response regulator PilG	pilG	67510291	KCV09_RS00065	384	127	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	16636	17007	+						67510292	KCV09_RS00070	372		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	16636	17007	+	WP_004935180.1	WP_004935180.1		response regulator		67510292	KCV09_RS00070	372	123	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	17009	17539	+						67510293	KCV09_RS00075	531		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	17009	17539	+	WP_004935181.1	WP_004935181.1		chemotaxis protein CheW		67510293	KCV09_RS00075	531	176	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	17581	19035	+						67510294	KCV09_RS00080	1455		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	17581	19035	+	WP_212515346.1	WP_212515346.1		hypothetical protein		67510294	KCV09_RS00080	1455	484	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	19103	23392	+						67510295	KCV09_RS00085	4290		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	19103	23392	+	WP_212515347.1	WP_212515347.1		Hpt domain-containing protein		67510295	KCV09_RS00085	4290	1429	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	23435	24568	-					dapE	67510296	KCV09_RS00090	1134		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	23435	24568	-	WP_004935190.1	WP_004935190.1		succinyl-diaminopimelate desuccinylase	dapE	67510296	KCV09_RS00090	1134	377	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	24687	24830	-						67510297	KCV09_RS00095	144		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	24687	24830	-	WP_088459345.1	WP_088459345.1		entericidin A/B family lipoprotein		67510297	KCV09_RS00095	144	47	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	24962	25831	-						67510298	KCV09_RS00100	870		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	24962	25831	-	WP_212515348.1	WP_212515348.1		DUF1853 family protein		67510298	KCV09_RS00100	870	289	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	25973	26386	+						67510299	KCV09_RS00105	414		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	25973	26386	+	WP_025094518.1	WP_025094518.1		YbaN family protein		67510299	KCV09_RS00105	414	137	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	26373	26882	+						67510300	KCV09_RS00110	510		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	26373	26882	+	WP_171496945.1	WP_171496945.1		L,D-transpeptidase family protein		67510300	KCV09_RS00110	510	169	
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27073	27148	+						67510301	KCV09_RS00115	76		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27073	27148	+				tRNA-Val		67510301	KCV09_RS00115	76		anticodon=TAC
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27173	27249	+						67510302	KCV09_RS00120	77		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27173	27249	+				tRNA-Asp		67510302	KCV09_RS00120	77		anticodon=GTC
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27296	27372	+						67510303	KCV09_RS00125	77		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27296	27372	+				tRNA-Asp		67510303	KCV09_RS00125	77		anticodon=GTC
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27394	27469	+						67510304	KCV09_RS00130	76		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27394	27469	+				tRNA-Val		67510304	KCV09_RS00130	76		anticodon=TAC
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27508	27584	+						67510305	KCV09_RS00135	77		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27508	27584	+				tRNA-Asp		67510305	KCV09_RS00135	77		anticodon=GTC
gene	tRNA	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27683	27758	+						67510306	KCV09_RS00140	76		
tRNA		GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27683	27758	+				tRNA-Val		67510306	KCV09_RS00140	76		anticodon=TAC
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27842	28306	+						67510307	KCV09_RS00145	465		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	27842	28306	+	WP_004935204.1	WP_004935204.1		DUF2750 domain-containing protein		67510307	KCV09_RS00145	465	154	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	28303	29109	-						67510308	KCV09_RS00150	807		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	28303	29109	-	WP_212515349.1	WP_212515349.1		YdcF family protein		67510308	KCV09_RS00150	807	268	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	29220	31838	-						67510309	KCV09_RS00155	2619		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	29220	31838	-	WP_212515350.1	WP_212515350.1		PepSY domain-containing protein		67510309	KCV09_RS00155	2619	872	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	31997	32557	-						67510310	KCV09_RS00160	561		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	31997	32557	-	WP_004945714.1	WP_004945714.1		YcxB family protein		67510310	KCV09_RS00160	561	186	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	32649	34823	-					yccS	67510311	KCV09_RS00165	2175		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	32649	34823	-	WP_212515351.1	WP_212515351.1		YccS family putative transporter	yccS	67510311	KCV09_RS00165	2175	724	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	34970	36181	+						67510312	KCV09_RS00170	1212		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	34970	36181	+	WP_212515352.1	WP_212515352.1		Bcr/CflA family efflux MFS transporter		67510312	KCV09_RS00170	1212	403	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	36242	36946	-						67510313	KCV09_RS00175	705		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	36242	36946	-	WP_212515353.1	WP_212515353.1		nitroreductase family protein		67510313	KCV09_RS00175	705	234	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	37321	38556	+					gltS	67510314	KCV09_RS00180	1236		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	37321	38556	+	WP_212515354.1	WP_212515354.1		sodium/glutamate symporter	gltS	67510314	KCV09_RS00180	1236	411	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	38695	40170	+						67510315	KCV09_RS00185	1476		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	38695	40170	+	WP_034440484.1	WP_034440484.1		alanine:cation symporter family protein		67510315	KCV09_RS00185	1476	491	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	40308	41258	+						67510316	KCV09_RS00190	951		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	40308	41258	+	WP_004935221.1	WP_004935221.1		patatin-like phospholipase family protein		67510316	KCV09_RS00190	951	316	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	41273	41851	-						67510317	KCV09_RS00195	579		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	41273	41851	-	WP_004935223.1	WP_004935223.1		DJ-1/PfpI family protein		67510317	KCV09_RS00195	579	192	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	42121	43323	+					sbmA	67510318	KCV09_RS00200	1203		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	42121	43323	+	WP_212515355.1	WP_212515355.1		peptide antibiotic transporter SbmA	sbmA	67510318	KCV09_RS00200	1203	400	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	43387	43578	-						67510319	KCV09_RS00205	192		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	43387	43578	-	WP_055415053.1	WP_055415053.1		hypothetical protein		67510319	KCV09_RS00205	192	63	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	43723	44250	-						67510320	KCV09_RS00210	528		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	43723	44250	-	WP_088459336.1	WP_088459336.1		chromate transporter		67510320	KCV09_RS00210	528	175	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	44247	44816	-						67510321	KCV09_RS00215	570		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	44247	44816	-	WP_111812212.1	WP_111812212.1		chromate transporter		67510321	KCV09_RS00215	570	189	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	44920	45843	+						67510322	KCV09_RS00220	924		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	44920	45843	+	WP_212515356.1	WP_212515356.1		LysR family transcriptional regulator		67510322	KCV09_RS00220	924	307	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	45833	46588	-						67510323	KCV09_RS00225	756		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	45833	46588	-	WP_212515357.1	WP_212515357.1		DUF4850 domain-containing protein		67510323	KCV09_RS00225	756	251	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	46720	47799	+						67510324	KCV09_RS00230	1080		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	46720	47799	+	WP_212515358.1	WP_212515358.1		DUF1176 domain-containing protein		67510324	KCV09_RS00230	1080	359	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	47836	48606	+						67510325	KCV09_RS00235	771		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	47836	48606	+	WP_212515359.1	WP_212515359.1		hypothetical protein		67510325	KCV09_RS00235	771	256	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	48688	49200	+						67510326	KCV09_RS00240	513		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	48688	49200	+	WP_212515360.1	WP_212515360.1		hypothetical protein		67510326	KCV09_RS00240	513	170	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	49401	50039	-						67510327	KCV09_RS00245	639		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	49401	50039	-	WP_212515361.1	WP_212515361.1		hypothetical protein		67510327	KCV09_RS00245	639	212	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	50168	51655	-					gatB	67510328	KCV09_RS00250	1488		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	50168	51655	-	WP_212515362.1	WP_212515362.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB	67510328	KCV09_RS00250	1488	495	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	51655	53133	-					gatA	67510329	KCV09_RS00255	1479		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	51655	53133	-	WP_151808603.1	WP_151808603.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA	67510329	KCV09_RS00255	1479	492	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	53186	53497	-					gatC	67510330	KCV09_RS00260	312		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	53186	53497	-	WP_004922268.1	WP_004922268.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC	67510330	KCV09_RS00260	312	103	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	53631	54668	+						67510331	KCV09_RS00265	1038		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	53631	54668	+	WP_171063740.1	WP_171063740.1		rod shape-determining protein		67510331	KCV09_RS00265	1038	345	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	54687	55544	+					mreC	67510332	KCV09_RS00270	858		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	54687	55544	+	WP_004935273.1	WP_004935273.1		rod shape-determining protein MreC	mreC	67510332	KCV09_RS00270	858	285	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	55531	56022	+					mreD	67510333	KCV09_RS00275	492		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	55531	56022	+	WP_004935277.1	WP_004935277.1		rod shape-determining protein MreD	mreD	67510333	KCV09_RS00275	492	163	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	56010	56576	+						67510334	KCV09_RS00280	567		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	56010	56576	+	WP_004935278.1	WP_004935278.1		Maf family nucleotide pyrophosphatase		67510334	KCV09_RS00280	567	188	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	56616	58070	+					rng	67510335	KCV09_RS00285	1455		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	56616	58070	+	WP_004945752.1	WP_004945752.1		ribonuclease G	rng	67510335	KCV09_RS00285	1455	484	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	58208	58381	+						67510336	KCV09_RS00290	174		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	58208	58381	+	WP_004935285.1	WP_004935285.1		hypothetical protein		67510336	KCV09_RS00290	174	57	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	58438	59844	-						67510337	KCV09_RS00295	1407		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	58438	59844	-	WP_004935288.1	WP_004935288.1		wax ester/triacylglycerol synthase family O-acyltransferase		67510337	KCV09_RS00295	1407	468	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	60016	60750	-						67510338	KCV09_RS00300	735		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	60016	60750	-	WP_004935291.1	WP_004935291.1		phosphoadenylyl-sulfate reductase		67510338	KCV09_RS00300	735	244	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	60933	61550	+					thrH	67510339	KCV09_RS00305	618		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	60933	61550	+	WP_151815442.1	WP_151815442.1		bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH	thrH	67510339	KCV09_RS00305	618	205	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	61603	63033	-						67510340	KCV09_RS00310	1431		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	61603	63033	-	WP_111812222.1	WP_111812222.1		outer membrane protein transport protein		67510340	KCV09_RS00310	1431	476	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	63308	64273	-						67510341	KCV09_RS00315	966		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	63308	64273	-	WP_212515363.1	WP_212515363.1		tRNA-dihydrouridine synthase		67510341	KCV09_RS00315	966	321	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	64366	65175	-					ccsA	67510342	KCV09_RS00320	810		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	64366	65175	-	WP_004935303.1	WP_004935303.1		cytochrome c biogenesis protein CcsA	ccsA	67510342	KCV09_RS00320	810	269	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	65321	66730	+					ffh	67510343	KCV09_RS00325	1410		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	65321	66730	+	WP_151815440.1	WP_151815440.1		signal recognition particle protein	ffh	67510343	KCV09_RS00325	1410	469	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	66775	67512	-						67510344	KCV09_RS00330	738		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	66775	67512	-	WP_076032931.1	WP_076032931.1		pantothenate kinase		67510344	KCV09_RS00330	738	245	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	67509	68279	-						67510345	KCV09_RS00335	771		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	67509	68279	-	WP_004935311.1	WP_004935311.1		biotin--[acetyl-CoA-carboxylase] ligase		67510345	KCV09_RS00335	771	256	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	68310	69110	+						67510346	KCV09_RS00340	801		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	68310	69110	+	WP_212515364.1	WP_212515364.1		TSUP family transporter		67510346	KCV09_RS00340	801	266	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	69321	70028	+						67510347	KCV09_RS00345	708		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	69321	70028	+	WP_004935317.1	WP_004935317.1		GntR family transcriptional regulator		67510347	KCV09_RS00345	708	235	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	70124	73573	+					smc	67510348	KCV09_RS00350	3450		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	70124	73573	+	WP_212515365.1	WP_212515365.1		chromosome segregation protein SMC	smc	67510348	KCV09_RS00350	3450	1149	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	73575	74546	+						67510349	KCV09_RS00355	972		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	73575	74546	+	WP_151815437.1	WP_151815437.1		cell division protein ZipA		67510349	KCV09_RS00355	972	323	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	74626	76656	+					ligA	67510350	KCV09_RS00360	2031		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	74626	76656	+	WP_212515366.1	WP_212515366.1		NAD-dependent DNA ligase LigA	ligA	67510350	KCV09_RS00360	2031	676	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	76793	77848	-						67510351	KCV09_RS00365	1056		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	76793	77848	-	WP_025094545.1	WP_025094545.1		aldehyde reductase		67510351	KCV09_RS00365	1056	351	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	78197	78661	+					bfr	67510352	KCV09_RS00370	465		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	78197	78661	+	WP_004935333.1	WP_004935333.1		bacterioferritin	bfr	67510352	KCV09_RS00370	465	154	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	78845	79615	+						67510353	KCV09_RS00375	771		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	78845	79615	+	WP_212515367.1	WP_212515367.1		BapA prefix-like domain-containing protein		67510353	KCV09_RS00375	771	256	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	79662	80222	-						67510354	KCV09_RS00380	561		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	79662	80222	-	WP_212515368.1	WP_212515368.1		redoxin domain-containing protein		67510354	KCV09_RS00380	561	186	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	80369	81088	+						67510355	KCV09_RS00385	720		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	80369	81088	+	WP_212515369.1	WP_212515369.1		alpha/beta fold hydrolase		67510355	KCV09_RS00385	720	239	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	81184	82476	+					bioA	67510356	KCV09_RS00390	1293		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	81184	82476	+	WP_212515370.1	WP_212515370.1		adenosylmethionine--8-amino-7-oxononanoate transaminase	bioA	67510356	KCV09_RS00390	1293	430	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	82463	83620	+						67510357	KCV09_RS00395	1158		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	82463	83620	+	WP_212515371.1	WP_212515371.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		67510357	KCV09_RS00395	1158	385	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	83611	84378	+					bioC	67510358	KCV09_RS00400	768		
CDS	with_protein	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	83611	84378	+	WP_228301596.1	WP_228301596.1		malonyl-ACP O-methyltransferase BioC	bioC	67510358	KCV09_RS00400	768	255	
gene	protein_coding	GCF_018139125.1	Primary Assembly	chromosome		NZ_CP073241.1	84375	85016	+					bioD	67510359	KCV09_RS00405	642		
